id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
1,C:\Program Files\projects\facebook\src\components\date\day\Day.tsx,Day,Large Component,LOC: 61; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
2,C:\Program Files\projects\facebook\src\components\date\day\Day.tsx,Day,Too many props,"Number of props: 14; Props: selectValue,handleSelect,borderRadius,color,fontSize,border,outline,height,fontWeight,lineHeight,padding,width,backgroundColor,marginTop",,
3,C:\Program Files\projects\facebook\src\components\date\month\Month.tsx,Month,Large Component,LOC: 43; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
4,C:\Program Files\projects\facebook\src\components\date\month\Month.tsx,Month,Too many props,"Number of props: 14; Props: monthValue,monthHandle,borderRadius,color,fontSize,border,outline,height,fontWeight,lineHeight,padding,width,backgroundColor,marginTop",,
5,C:\Program Files\projects\facebook\src\components\date\year\Year.tsx,Year,Large Component,LOC: 148; Number of props: 14; Number of attributes: 0; Number of methods: 0,,
6,C:\Program Files\projects\facebook\src\components\date\year\Year.tsx,Year,Too many props,"Number of props: 14; Props: yearValue,yearHandle,borderRadius,color,fontSize,border,outline,height,fontWeight,lineHeight,padding,width,backgroundColor,marginTop",,
7,C:\Program Files\projects\facebook\src\components\hero\Hero.tsx,Hero,Large Component,LOC: 260; Number of props: 4; Number of attributes: 0; Number of methods: 2,,
8,C:\Program Files\projects\facebook\src\components\home\navbar\Navbar.tsx,Navbar,Large Component,LOC: 267; Number of props: 32; Number of attributes: 0; Number of methods: 0,,
9,C:\Program Files\projects\facebook\src\components\home\navbar\Navbar.tsx,Navbar,Too many props,"Number of props: 32; Props: backgroundColor,height,borderBottom,padding,width,top,left,borderRadius,fontSize,textAlign,color,border,outline,paddingTop,paddingRight,paddingBottom,paddingLeft,fill,position,fontWeight,textTransform,marginLeft,display,justifyContent,alignItems,cursor,backgroundPosition,backgroundRepeat,backgroundSize,backgroundImage,filter,marginRight",,
10,C:\Program Files\projects\facebook\src\components\home\navbar\navbarAddComponent\NavbarAddComponent.tsx,NavbarAddComponent,Large Component,LOC: 513; Number of props: 30; Number of attributes: 0; Number of methods: 0,,
11,C:\Program Files\projects\facebook\src\components\home\navbar\navbarAddComponent\NavbarAddComponent.tsx,NavbarAddComponent,Too many props,"Number of props: 30; Props: position,top,width,transform,backgroundColor,border,borderRadius,right,padding,overflow,transition,fontSize,color,fontWeight,height,display,alignItems,justifyContent,backgroundPosition,backgroundSize,backgroundRepeat,backgroundImage,filter,marginLeft,lineHeight,marginTop,textAlign,maxWidth,borderWidth,marginRight",,
12,C:\Program Files\projects\facebook\src\components\home\sidebar\Sidebar.tsx,Sidebar,Large Component,LOC: 255; Number of props: 24; Number of attributes: 0; Number of methods: 0,,
13,C:\Program Files\projects\facebook\src\components\home\sidebar\Sidebar.tsx,Sidebar,Too many props,"Number of props: 24; Props: position,top,padding,width,overflowY,height,textDecoration,textDecorationLine,borderRadius,display,alignItems,marginLeft,textTransform,color,fontSize,backgroundColor,backgroundPosition,backgroundImage,backgroundSize,backgroundRepeat,textAlign,margin,filter,transform",,
14,C:\Program Files\projects\facebook\src\components\signin\Signin.tsx,Signin,Large Component,LOC: 538; Number of props: 45; Number of attributes: 0; Number of methods: 1,,
15,C:\Program Files\projects\facebook\src\components\signin\Signin.tsx,Signin,Too many props,"Number of props: 45; Props: closeModal,firstName,lastName,emailMobile,password,firstNameHandle,lastNameHandle,emailMobileHandle,passwordHandle,selectValue,selectHandle,monthValue,monthHandle,yearValue,yearHandle,backgroundColor,top,left,borderRadius,width,boxShadow,right,height,padding,color,fontSize,lineHeight,fontWeight,borderTop,outline,border,position,paddingTop,paddingBottom,maxWidth,paddingLeft,paddingRight,marginTop,marginLeft,margin,textAlign,overflow,textShadow,cursor,marginBottom",,
16,C:\Program Files\projects\facebook\src\components\signin\Signin.tsx,Signin,Force Update,"Line 99: window.location.reload();
",,
17,C:\Program Files\projects\facebook\src\components\whatsyourmind\popup\WhatsYourMindPopup.tsx,RenderPostComponent,Large Component,LOC: 43; Number of props: 48; Number of attributes: 0; Number of methods: 0,,
18,C:\Program Files\projects\facebook\src\components\whatsyourmind\popup\WhatsYourMindPopup.tsx,RenderPostComponent,Too many props,"Number of props: 48; Props: mind,setShowMind,handle,showMind,setMind,marginRight,marginLeft,outline,borderRadius,height,width,paddingTop,position,cursor,display,alignItems,justifyContent,classcom,top,left,backgroundColor,zIndex,transform,boxShadow,paddingLeft,paddingRight,borderBottom,color,fontSize,fontWeight,right,backgroundPosition,backgroundImage,backgroundSize,backgroundRepeat,filter,paddingBottom,flexDirection,textTransform,marginTop,resize,border,maxHeight,maxWidth,padding,borderLeft,borderRight,borderTop",,
19,C:\Program Files\projects\facebook\src\components\whatsyourmind\popup\WhatsYourMindPopup.tsx,RenderPostComponent,Large Component,LOC: 43; Number of props: 48; Number of attributes: 0; Number of methods: 0,,
20,C:\Program Files\projects\facebook\src\components\whatsyourmind\popup\WhatsYourMindPopup.tsx,RenderPostComponent,Too many props,"Number of props: 48; Props: mind,setShowMind,handle,showMind,setMind,marginRight,marginLeft,outline,borderRadius,height,width,paddingTop,position,cursor,display,alignItems,justifyContent,classcom,top,left,backgroundColor,zIndex,transform,boxShadow,paddingLeft,paddingRight,borderBottom,color,fontSize,fontWeight,right,backgroundPosition,backgroundImage,backgroundSize,backgroundRepeat,filter,paddingBottom,flexDirection,textTransform,marginTop,resize,border,maxHeight,maxWidth,padding,borderLeft,borderRight,borderTop",,
21,C:\Program Files\projects\facebook\src\components\whatsyourmind\WhatsYourMind.tsx,RenderChildComponent,Large Component,LOC: 38; Number of props: 31; Number of attributes: 0; Number of methods: 0,,
22,C:\Program Files\projects\facebook\src\components\whatsyourmind\WhatsYourMind.tsx,RenderChildComponent,Too many props,"Number of props: 31; Props: borderRadius,padding,outline,width,cursor,display,justifyContent,alignItems,class,color,fontWeight,fontSize,text,position,left,top,transform,backgroundColor,boxShadow,marginTop,flexWrap,height,objectFit,paddingLeft,paddingBottom,minHeight,paddingRight,paddingTop,marginLeft,border,borderTop",,
23,C:\Program Files\projects\facebook\src\components\whatsyourmind\WhatsYourMind.tsx,RenderChildComponent,Large Component,LOC: 38; Number of props: 31; Number of attributes: 0; Number of methods: 0,,
24,C:\Program Files\projects\facebook\src\components\whatsyourmind\WhatsYourMind.tsx,RenderChildComponent,Too many props,"Number of props: 31; Props: borderRadius,padding,outline,width,cursor,display,justifyContent,alignItems,class,color,fontWeight,fontSize,text,position,left,top,transform,backgroundColor,boxShadow,marginTop,flexWrap,height,objectFit,paddingLeft,paddingBottom,minHeight,paddingRight,paddingTop,marginLeft,border,borderTop",,
